      2,814,712  GC Heap bytes
         42,257  GC Heap objects

   Object Bytes     Count  Type
            512         1  System.Collections.Generic.Dictionary.Entry<System.Type,System.Func<System.Type,System.IntPtr,System.Int32,System.Array>>[]  [Module(0xb400007cb6925060)]
            512         1  System.Collections.Generic.Dictionary.Entry<System.Type,System.Func<System.Type,System.IntPtr,System.Int32,System.Object>>[]  [Module(0xb400007cb6925060)]
            408         4  Microsoft.Maui.Controls.PointerGestureRecognizer  [Module(0xb400007cb692a5b0)]
            408         2  System.Globalization.DateTimeFormatInfo  [Module(0xb400007cb6925060)]
            408         1  System.Diagnostics.Tracing.RuntimeEventSource  [Module(0xb400007cb6925060)]
            408         1  Java.Interop.JniRuntime.JniTypeManager.JniPrimitiveArrayInfo[]  [Module(0xb400007cb6922bd0)]
            328     1,734  System.Object[]  [Module(0xb400007cb6925060)]
            328       116  Microsoft.Maui.Controls.AppThemeBinding.AppThemeProxy  [Module(0xb400007cb692a5b0)]
            328        30  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<System.Type,System.ValueTuple<System.Object,System.Func<System.Object,System.Object>>>[]  [Module(0xb400007cb6952ba0)]
            328        27  System.Collections.Generic.Dictionary.Entry<System.String,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>[]  [Module(0xb400007cb6925060)]
            328        23  Microsoft.Maui.Controls.SolidColorBrush  [Module(0xb400007cb692a5b0)]
            328         9  System.Array[]  [Module(0xb400007cb6925060)]
            328         8  Microsoft.Extensions.DependencyInjection.ServiceDescriptor[]  [Module(0xb400007cb6931f90)]
            328         2  Microsoft.Maui.Controls.ImmutableBrush  [Module(0xb400007cb692a5b0)]
            328         2  System.Globalization.NumberFormatInfo  [Module(0xb400007cb6925060)]
            328         2  System.Double[]  [Module(0xb400007cb6925060)]
            328         1  Microsoft.Maui.Controls.MenuBar  [Module(0xb400007cb692a5b0)]
            328         1  System.Threading.ThreadPoolWorkQueue  [Module(0xb400007cb6925060)]
            328         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<Microsoft.Maui.Hosting.IMauiHandlersCollection,Microsoft.Maui.Hosting.Internal.RegisteredHandlerServiceTypeSet>[]  [Module(0xb400007cb6952ba0)]
            328         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<System.Type,System.Type>[]  [Module(0xb400007cb6952ba0)]
            328         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<Microsoft.Extensions.DependencyInjection.ServiceDescriptor,System.Object>[]  [Module(0xb400007cb6952ba0)]
            328         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<System.ValueTuple<System.String,Microsoft.Maui.FontWeight,System.Boolean>,Android.Graphics.Typeface>[]  [Module(0xb400007cb6952ba0)]
            328         1  System.Collections.Generic.Dictionary.Entry<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,System.Object>[]  [Module(0xb400007cb6925060)]
            328         1  System.Collections.Concurrent.ConcurrentDictionary.VolatileNode<System.Reflection.MemberInfo,System.ComponentModel.TypeConverter>[]  [Module(0xb400007cb6952ba0)]
            304         1  System.Threading.LowLevelLifoSemaphore  [Module(0xb400007cb6925060)]
            280        10  System.Threading.Thread  [Module(0xb400007cb6925060)]
            256       218  System.Collections.Generic.Dictionary.Entry<Microsoft.Maui.Controls.BindableProperty,System.ValueTuple<System.String,Microsoft.Maui.Controls.SetterSpecificity>>[]  [Module(0xb400007cb6925060)]
            256         6  Microsoft.Maui.Controls.NavigationPageToolbar  [Module(0xb400007cb692a5b0)]
            256         5  Microsoft.Maui.Controls.Internals.TemplatedItemsList<Microsoft.Maui.Controls.MultiPage<Microsoft.Maui.Controls.Page>,Microsoft.Maui.Controls.Page>  [Module(0xb400007cb692a5b0)]
            256         5  Microsoft.Maui.Controls.Handlers.TabbedPageManager  [Module(0xb400007cb692a5b0)]
            256         4  System.Buffers.SharedArrayPoolPartitions[]  [Module(0xb400007cb6925060)]
            256         2  System.Globalization.CalendarData[]  [Module(0xb400007cb6925060)]
            256         1  Microsoft.Extensions.DependencyInjection.DependencyInjectionEventSource  [Module(0xb400007cb6951340)]
            256         1  System.Diagnostics.DiagnosticSourceEventSource  [Module(0xb400007cb6975c40)]
            256         1  System.Threading.PortableThreadPool.HillClimbing  [Module(0xb400007cb6925060)]
            256         1  System.Collections.Generic.Dictionary.Entry<System.String,System.ValueTuple<System.String,System.String>>[]  [Module(0xb400007cb6925060)]
            200       229  System.Collections.Generic.Dictionary.Entry<Microsoft.Maui.Controls.BindableProperty,Microsoft.Maui.Controls.BindableObject.BindablePropertyContext>[]  [Module(0xb400007cb6925060)]
            200       137  System.Collections.Generic.Dictionary.Entry<System.String,Java.Interop.JniMethodInfo>[]  [Module(0xb400007cb6925060)]
            200        12  System.Collections.Generic.Dictionary.Entry<System.String,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>[]  [Module(0xb400007cb6925060)]
            200         2  System.Collections.Generic.Dictionary.Entry<System.String,System.Object>[]  [Module(0xb400007cb6925060)]
            200         1  System.Diagnostics.Tracing.FrameworkEventSource  [Module(0xb400007cb6925060)]
            200         1  System.Buffers.ArrayPoolEventSource  [Module(0xb400007cb6925060)]
            200         1  Microsoft.Maui.Graphics.Platform.PlatformCanvasState  [Module(0xb400007cb69468a0)]
            200         1  System.Diagnostics.Tracing.NativeRuntimeEventSource  [Module(0xb400007cb6925060)]
            200         1  System.Threading.Tasks.TplEventSource  [Module(0xb400007cb6925060)]
            200         1  Microsoft.Maui.Platform.MauiScrollView  [Module(0xb400007cb69374e0)]
            200         1  System.Collections.Generic.Dictionary.Entry<System.Object,System.String>[]  [Module(0xb400007cb6925060)]
            200         1  System.Collections.Generic.Dictionary.Entry<System.Type,System.ComponentModel.TypeConverter>[]  [Module(0xb400007cb6925060)]
            200         1  System.Collections.Generic.Dictionary.Entry<System.String,Microsoft.Maui.FontWeight>[]  [Module(0xb400007cb6925060)]
            160       292  System.Collections.Generic.HashSet.Entry<System.String>[]  [Module(0xb400007cb6925060)]
            160        78  System.Runtime.CompilerServices.ConditionalWeakTable.Entry<Microsoft.Maui.Controls.BindableObject,System.Object>[]  [Module(0xb400007cb6925060)]
            160        16  Microsoft.Maui.Platform.StackNavigationManager  [Module(0xb400007cb69374e0)]
            160         4  System.Runtime.CompilerServices.ConditionalWeakTable.Entry<System.Buffers.SharedArrayPoolThreadLocalArray[],System.Object>[]  [Module(0xb400007cb6925060)]
            160         3  Microsoft.Maui.Platform.LayoutViewGroup  [Module(0xb400007cb69374e0)]
            160         2  System.Globalization.CalendarData  [Module(0xb400007cb6925060)]
            160         2  Microsoft.Maui.Platform.ContentViewGroup  [Module(0xb400007cb69374e0)]
            160         1  System.OutOfMemoryException  [Module(0xb400007cb6925060)]
            160         1  System.NullReferenceException  [Module(0xb400007cb6925060)]
            160         1  System.StackOverflowException  [Module(0xb400007cb6925060)]
            160         1  System.Runtime.CompilerServices.ConditionalWeakTable.Entry<System.Type,Microsoft.Maui.Controls.ResourceDictionary>[]  [Module(0xb400007cb6925060)]
            160         1  Microsoft.Maui.Graphics.Platform.PlatformGraphicsView  [Module(0xb400007cb69468a0)]
            160         1  System.Runtime.CompilerServices.ConditionalWeakTable.Entry<System.Object,Microsoft.Maui.SourceInfo>[]  [Module(0xb400007cb6925060)]
            160         1  Android.Runtime.AndroidRuntime  [Module(0xb400007cb692d670)]
            160         1  System.Runtime.CompilerServices.ConditionalWeakTable.Entry<System.Action,Java.Lang.Thread.RunnableImplementor>[]  [Module(0xb400007cb6925060)]
            128       637  Microsoft.Maui.Controls.BindableProperty  [Module(0xb400007cb692a5b0)]
            128       366  Microsoft.Maui.Controls.BindableProperty.BindingPropertyChangedDelegate  [Module(0xb400007cb692a5b0)]
            128       361  System.TimeZoneInfo.AdjustmentRule  [Module(0xb400007cb6925060)]
            128       346  System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>  [Module(0xb400007cb6925060)]
            128       282  System.EventHandler  [Module(0xb400007cb6925060)]
            128       221  System.Collections.Specialized.NotifyCollectionChangedEventHandler  [Module(0xb400007cb69368b0)]
            128       211  System.Action<System.Object,Microsoft.Maui.Controls.Internals.ResourcesChangedEventArgs>  [Module(0xb400007cb6925060)]
            128       190  Microsoft.Maui.Controls.AppThemeBinding  [Module(0xb400007cb692a5b0)]
            128       124  System.Action<System.Collections.Generic.List<Microsoft.Maui.Controls.StateTriggerBase>>  [Module(0xb400007cb6925060)]
            128       119  System.Action<System.Collections.Generic.List<Microsoft.Maui.Controls.VisualStateGroup>>  [Module(0xb400007cb6925060)]
            128       110  System.Reflection.InvokerEmitUtil.InvokeFunc_RefArgs  [Module(0xb400007cb6925060)]
            128        68  System.EventHandler<Microsoft.Maui.Controls.HandlerChangingEventArgs>  [Module(0xb400007cb6925060)]
            128        57  System.Action<System.Collections.Generic.List<Microsoft.Maui.Controls.VisualState>>  [Module(0xb400007cb6925060)]
            128        40  Microsoft.Maui.Controls.Style  [Module(0xb400007cb692a5b0)]
            128        37  System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>  [Module(0xb400007cb6925060)]
            128        37  System.Action<Microsoft.Maui.IViewHandler,Microsoft.Maui.IView>  [Module(0xb400007cb6925060)]
