      2,814,712  GC Heap bytes
         42,257  GC Heap objects

   Object Bytes     Count  Type
            128         2  System.Func<System.String>  [Module(0xb400007cb6925060)]
            128         2  System.Runtime.CompilerServices.ConditionalWeakTable.CreateValueCallback<System.Type,Microsoft.Maui.Controls.ResourceDictionary>  [Module(0xb400007cb6925060)]
            128         2  System.Threading.TimerCallback  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.Controls.Entry>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.IStepperHandler,Microsoft.Maui.IStepper>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.Controls.SearchBar,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         2  System.Func<System.Collections.Generic.KeyValuePair<System.Type,Java.Interop.JniValueMarshaler>[]>  [Module(0xb400007cb6925060)]
            128         2  System.Func<Microsoft.Extensions.Primitives.IChangeToken>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.ISwipeViewHandler,Microsoft.Maui.ISwipeView,System.Object>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Android.App.Activity,Microsoft.Maui.ApplicationModel.ActivityState>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.Controls.Editor,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Handlers.IPickerHandler,Microsoft.Maui.IPicker,System.Object>  [Module(0xb400007cb6925060)]
            128         2  System.EventHandler<Android.Views.View.ViewDetachedFromWindowEventArgs>  [Module(0xb400007cb6925060)]
            128         2  System.Func<Microsoft.Maui.Controls.Page,System.String>  [Module(0xb400007cb6925060)]
            128         1  Google.Android.Material.AppBar.MaterialToolbar  [Module(0xb400007cb6949960)]
            128         1  AndroidX.AppCompat.Widget.AppCompatTextView  [Module(0xb400007cb69474d0)]
            128         1  AndroidX.AppCompat.Widget.SwitchCompat  [Module(0xb400007cb69474d0)]
            128         1  Google.Android.Material.AppBar.AppBarLayout  [Module(0xb400007cb6949960)]
            128         1  Microsoft.Maui.Handlers.ToolbarHandler  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.Handlers.StepperHandler  [Module(0xb400007cb69374e0)]
            128         1  System.Func<System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  Java.Interop.ManagedPeer.ConstructMarshalMethod  [Module(0xb400007cb6922bd0)]
            128         1  Java.Interop.ManagedPeer.RegisterMarshalMethod  [Module(0xb400007cb6922bd0)]
            128         1  System.Action<Microsoft.Maui.Handlers.IPickerHandler,Microsoft.Maui.Controls.Picker>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,System.Object>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.IEmbeddedFontLoader>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.IFontRegistrar>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.IFontManager>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.Controls.Editor>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Extensions.Configuration.ConfigurationManager>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Hosting.MauiHostEnvironment>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.IImageSourceServiceProvider>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Hosting.IImageSourceServiceCollection>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Hosting.IFontCollection>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.View.IOnAttachStateChangeListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.View.IOnKeyListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.View.IOnTouchListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnPostCreate  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnRestart  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnPause  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnStop  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnDestroy  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnBackPressed  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnConfigurationChanged  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnCreate  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnRequestPermissionsResult  [Module(0xb400007cb69374e0)]
            128         1  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnNewIntent  [Module(0xb400007cb69374e0)]
            128         1  System.Action<Microsoft.Maui.Handlers.IImageButtonHandler,Microsoft.Maui.Controls.ImageButton>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Controls.HideSoftInputOnTappedChangedManager>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Hosting.IMauiHandlersCollection>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Handlers.IHybridWebViewTaskManager>  [Module(0xb400007cb6925060)]
            128         1  System.Action<System.Diagnostics.ActivityListener,System.Object>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Handlers.ViewHandler<Microsoft.Maui.ITabbedView,Android.Views.View>,Android.Views.View>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Extensions.Configuration.ConfigurationReloadToken>  [Module(0xb400007cb6925060)]
            128         1  System.Threading.ParameterizedThreadStart  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IRadioButtonHandler,Microsoft.Maui.Controls.RadioButton>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Handlers.ViewHandler<Microsoft.Maui.IRadioButton,Android.Views.View>,Android.Views.View>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.IView,Microsoft.Maui.IView>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.IViewHandler,Microsoft.Maui.Controls.VisualElement>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.IViewHandler,Microsoft.Maui.Controls.VisualElement,System.Object,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>  [Module(0xb400007cb6925060)]
            128         1  System.Threading.Tasks.Task<System.Int32>[]  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Hosting.IMauiHandlersCollection,Microsoft.Maui.Hosting.Internal.RegisteredHandlerServiceTypeSet>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Diagnostics.ViewDiagnosticTagger>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Diagnostics.LayoutDiagnosticMetrics>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Diagnostics.IDiagnosticsManager>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.IView,System.Int32>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.IMauiHandlersFactory>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Hosting.IMauiHandlersCollection>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ApplicationHandler,Microsoft.Maui.Controls.Application>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.LifecycleEvents.ILifecycleEventService>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.Controls.SearchBar>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ISwipeViewHandler,Microsoft.Maui.Controls.SwipeView>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IPageHandler,Microsoft.Maui.Controls.ContentPage>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Controls.Diagnostics.ControlsViewDiagnosticTagger>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.VisualState,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Platform.IEnergySaverListenerManager>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Animations.ITicker>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Animations.IAnimationManager>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Dispatching.IDispatcherProvider>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Dispatching.ApplicationDispatcher>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Maui.Dispatching.IDispatcher>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.Element,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.Page,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IWindowHandler,Microsoft.Maui.IWindow,System.Object>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IWindowHandler,Microsoft.Maui.IWindow,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.String,System.IntPtr>[]  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.ISearchBar,System.Object,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.ISearchBar,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.IntPtr,Java.Interop.JniRuntime>[]  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.Collections.Generic.Dictionary<System.String,System.Type>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IRadioButtonHandler,Microsoft.Maui.Controls.RadioButton,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  Microsoft.Maui.Controls.BindableProperty.BindablePropertyBindingChanging  [Module(0xb400007cb692a5b0)]
            128         1  System.Action<Microsoft.Maui.Handlers.IFlyoutViewHandler,Microsoft.Maui.IFlyoutView,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,Microsoft.Extensions.DependencyInjection.ServiceProvider.ServiceAccessor>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Extensions.Diagnostics.Metrics.IMetricsBuilder>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Hosting.MauiMetricsBuilder>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Extensions.Hosting.IHostEnvironment>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.IServiceProvider,Microsoft.Extensions.Configuration.IConfiguration>  [Module(0xb400007cb6925060)]
            128         1  Microsoft.Maui.Controls.PropertyChangingEventHandler  [Module(0xb400007cb692a5b0)]
            128         1  Microsoft.Maui.VisualDiagnosticsOverlay  [Module(0xb400007cb69374e0)]
            128         1  System.EventHandler<System.EventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<Microsoft.Maui.WindowOverlayTappedEventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.Switch>>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<Microsoft.Maui.Controls.ValueChangedEventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.Stepper>>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.ScrollView>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IStepperHandler,Microsoft.Maui.IStepper,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.Type,Microsoft.Maui.Controls.IValueConverter>[]  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Content.PM.PackageInfo>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IToolbarHandler,Microsoft.Maui.IToolbar>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IShapeViewHandler,Microsoft.Maui.IShapeView,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IContentViewHandler,Microsoft.Maui.IContentView>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.Application>>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Content.Context>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ApplicationHandler,Microsoft.Maui.Controls.Application,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ApplicationHandler,Microsoft.Maui.IApplication>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IPageHandler,Microsoft.Maui.Controls.ContentPage,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IPageHandler,Microsoft.Maui.IContentView>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.ICheckBoxHandler,Microsoft.Maui.ICheckBox,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.Type,System.AttributeUsageAttribute>[]  [Module(0xb400007cb6925060)]
            128         1  System.Func<Java.Interop.JniEnvironmentInfo>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.Type>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.IEntry,System.Object,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.IEntry,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IButtonHandler,Microsoft.Maui.IImage>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IImageButtonHandler,Microsoft.Maui.Controls.ImageButton,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.String,System.Diagnostics.Tracing.EventSource.OverrideEventProvider>[]  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.Guid,System.Diagnostics.Tracing.EventSource.OverrideEventProvider>[]  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IScrollViewHandler,Microsoft.Maui.IScrollView,System.Object>  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.Type,Microsoft.Maui.Controls.DependencyService.DependencyData>[]  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.IEditor,System.Object,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.IEditor,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.INavigationViewHandler,Microsoft.Maui.IStackNavigationView,System.Object>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Microsoft.Maui.Handlers.IPickerHandler,Microsoft.Maui.Controls.Picker,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         1  Java.Interop.DestroyJavaVMDelegate  [Module(0xb400007cb6922bd0)]
            128         1  Java.Interop.AttachCurrentThreadDelegate  [Module(0xb400007cb6922bd0)]
            128         1  Java.Interop.DetachCurrentThreadDelegate  [Module(0xb400007cb6922bd0)]
            128         1  Java.Interop.GetEnvDelegate  [Module(0xb400007cb6922bd0)]
            128         1  Java.Interop.AttachCurrentThreadAsDaemonDelegate  [Module(0xb400007cb6922bd0)]
            128         1  System.Action<Android.Runtime.JavaList>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<AndroidX.Core.Widget.NestedScrollView.ScrollChangeEventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<Android.Views.View.TouchEventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<Android.Views.ViewGroup.ChildViewAddedEventArgs>  [Module(0xb400007cb6925060)]
            128         1  System.Action<Android.Net.Uri>  [Module(0xb400007cb6925060)]
            128         1  System.Buffers.SpanFunc<System.Char,System.String,System.String,Interop.Globalization.TimeZoneDisplayNameType,Interop.Globalization.ResultCode>  [Module(0xb400007cb6925060)]
            128         1  System.Buffers.SpanFunc<System.Char,System.String,System.Globalization.CalendarId,System.Globalization.CalendarDataType,Interop.Globalization.ResultCode>  [Module(0xb400007cb6925060)]
            128         1  System.IO.StreamWriter  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.String,System.Globalization.CultureData>[]  [Module(0xb400007cb6925060)]
            128         1  System.Collections.Generic.Dictionary.Entry<System.String,System.Globalization.CultureInfo>[]  [Module(0xb400007cb6925060)]
            128         1  System.Buffers.SharedArrayPoolPartitions.Partition[]  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.View.IOnLayoutChangeListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.View.IOnFocusChangeListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Threading.WaitCallback  [Module(0xb400007cb6925060)]
            128         1  System.Func<Android.Views.ViewGroup.IOnHierarchyChangeListenerImplementor,System.Boolean>  [Module(0xb400007cb6925060)]
            128         1  System.Predicate<System.WeakReference<Microsoft.Maui.Controls.BindableObject>>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.Collections.Generic.KeyValuePair<System.String,System.Int32>,System.Int32>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.Collections.Generic.KeyValuePair<System.String,System.Int32>,System.String>  [Module(0xb400007cb6925060)]
            128         1  System.Func<System.Collections.Generic.KeyValuePair<System.String,System.Int32>,System.Collections.Generic.KeyValuePair<System.String,System.Int32>>  [Module(0xb400007cb6925060)]
            128         1  System.EventHandler<System.ComponentModel.PropertyChangedEventArgs>  [Module(0xb400007cb6925060)]
             96       144  System.Reflection.ParameterInfo[]  [Module(0xb400007cb6925060)]
             96        20  AndroidX.Fragment.App.FragmentContainerView  [Module(0xb400007cb6948d30)]
             96        15  Google.Android.Material.BottomNavigation.BottomNavigationItemView  [Module(0xb400007cb6949960)]
             96        14  Microsoft.Extensions.DependencyInjection.ServiceLookup.FactoryCallSite  [Module(0xb400007cb6951340)]
             96         9  System.Threading.TimerQueue  [Module(0xb400007cb6925060)]
             96         7  Microsoft.Maui.Handlers.LabelHandler  [Module(0xb400007cb69374e0)]
             96         7  Microsoft.Extensions.DependencyInjection.ServiceLookup.IEnumerableCallSite  [Module(0xb400007cb6951340)]
             96         6  Android.Widget.FrameLayout  [Module(0xb400007cb692d670)]
             96         5  AndroidX.ViewPager2.Widget.ViewPager2  [Module(0xb400007cb6992b60)]
             96         5  Google.Android.Material.BottomNavigation.BottomNavigationMenuView  [Module(0xb400007cb6949960)]
             96         5  Microsoft.Extensions.DependencyInjection.ServiceLookup.ConstructorCallSite  [Module(0xb400007cb6951340)]
             96         3  Microsoft.Maui.Handlers.LayoutHandler  [Module(0xb400007cb69374e0)]
             96         3  System.Reflection.RuntimePropertyInfo  [Module(0xb400007cb6925060)]
             96         2  System.TimeZoneInfo  [Module(0xb400007cb6925060)]
             96         1  Microsoft.Maui.Handlers.NavigationViewHandler  [Module(0xb400007cb69374e0)]
             96         1  Microsoft.Maui.Handlers.ScrollViewHandler  [Module(0xb400007cb69374e0)]
             96         1  Microsoft.Maui.Handlers.SwitchHandler  [Module(0xb400007cb69374e0)]
             96         1  Microsoft.Maui.Handlers.PageHandler  [Module(0xb400007cb69374e0)]
             96         1  AndroidX.AppCompat.Widget.LinearLayoutCompat  [Module(0xb400007cb69474d0)]
             96         1  AndroidX.CoordinatorLayout.Widget.CoordinatorLayout  [Module(0xb400007cb6962b90)]
             96         1  Microsoft.Maui.Controls.Platform.ModalNavigationManager  [Module(0xb400007cb692a5b0)]
             96         1  Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderCallSite  [Module(0xb400007cb6951340)]
             96         1  Microsoft.Maui.Controls.MenuBarTracker  [Module(0xb400007cb692a5b0)]
             96         1  Microsoft.Maui.Graphics.Platform.PlatformCanvas  [Module(0xb400007cb69468a0)]
             96         1  Microsoft.Maui.Platform.MauiStepper  [Module(0xb400007cb69374e0)]
             80       381  System.Collections.Generic.Dictionary<System.String,Java.Interop.JniMethodInfo>  [Module(0xb400007cb6925060)]
             80       344  System.Collections.Generic.Dictionary<System.String,Java.Interop.JniFieldInfo>  [Module(0xb400007cb6925060)]
             80       323  System.Reflection.RuntimeParameterInfo[]  [Module(0xb400007cb6925060)]
             80       254  System.Collections.Generic.Dictionary<Microsoft.Maui.Controls.TriggerBase,Microsoft.Maui.Controls.SetterSpecificity>  [Module(0xb400007cb6925060)]
             80       254  System.Collections.Generic.Dictionary<Microsoft.Maui.Controls.BindableProperty,Microsoft.Maui.Controls.BindableObject.BindablePropertyContext>  [Module(0xb400007cb6925060)]
             80       218  System.Collections.Generic.Dictionary<Microsoft.Maui.Controls.BindableProperty,System.ValueTuple<System.String,Microsoft.Maui.Controls.SetterSpecificity>>  [Module(0xb400007cb6925060)]
             80       209  System.Collections.Generic.Dictionary<System.Type,Java.Interop.JniPeerMembers.JniInstanceMethods>  [Module(0xb400007cb6925060)]
             80       169  Android.Runtime.XAPeerMembers  [Module(0xb400007cb692d670)]
             80       110  System.Reflection.MethodBaseInvoker  [Module(0xb400007cb6925060)]
             80       102  Microsoft.Maui.Controls.MergedStyle  [Module(0xb400007cb692a5b0)]
             80       101  System.Collections.Generic.Dictionary<Microsoft.Maui.Graphics.Size,Microsoft.Maui.SizeRequest>  [Module(0xb400007cb6925060)]
             80        59  System.String[]  [Module(0xb400007cb6925060)]
             80        43  System.Collections.Generic.Dictionary<System.String,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
             80        27  System.Collections.Generic.Dictionary<System.String,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Object>>  [Module(0xb400007cb6925060)]
             80        17  Microsoft.Maui.Controls.Platform.GesturePlatformManager  [Module(0xb400007cb692a5b0)]
             80        16  System.Diagnostics.Tracing.EventSource.OverrideEventProvider  [Module(0xb400007cb6925060)]
             80        15  Microsoft.Maui.Controls.Platform.FragmentContainer  [Module(0xb400007cb692a5b0)]
             80        11  System.Threading.Tasks.Task<System.Int32>  [Module(0xb400007cb6925060)]
             80        11  System.Collections.Generic.Dictionary<System.String,System.Object>  [Module(0xb400007cb6925060)]
             80        10  System.Diagnostics.Tracing.ScalarTypeInfo  [Module(0xb400007cb6925060)]
             80         9  System.Collections.Generic.Dictionary<System.Type,System.Object>  [Module(0xb400007cb6925060)]
             80         8  System.Diagnostics.Tracing.EventPipeEventProvider  [Module(0xb400007cb6925060)]
             80         8  Microsoft.Extensions.DependencyInjection.ServiceLookup.ConstantCallSite  [Module(0xb400007cb6951340)]
             80         6  Microsoft.Maui.Platform.NavigationRootManager  [Module(0xb400007cb69374e0)]
             80         6  Microsoft.Maui.Controls.ToolbarTracker  [Module(0xb400007cb692a5b0)]
             80         4  Microsoft.Maui.Controls.ResourceDictionary  [Module(0xb400007cb692a5b0)]
             80         4  System.Threading.WaitSubsystem.ThreadWaitInfo  [Module(0xb400007cb6925060)]
             80         4  System.Collections.Generic.Dictionary<System.String,System.String>  [Module(0xb400007cb6925060)]
             80         3  System.Threading.Tasks.Task<System.Boolean>  [Module(0xb400007cb6925060)]
             80         3  Java.Interop.JniPeerMembers  [Module(0xb400007cb6922bd0)]
             80         3  System.Collections.Generic.Dictionary<System.Object,System.String>  [Module(0xb400007cb6925060)]
             80         2  System.Threading.Tasks.Task<System.Threading.Tasks.VoidTaskResult>  [Module(0xb400007cb6925060)]
             80         2  System.Threading.ThreadPoolWorkQueueThreadLocals  [Module(0xb400007cb6925060)]
             80         2  System.Collections.Generic.Dictionary<System.String,System.Type>  [Module(0xb400007cb6925060)]
             80         2  System.Collections.Generic.HashSet.Entry<System.Type>[]  [Module(0xb400007cb6925060)]
             80         2  System.Collections.Generic.Dictionary<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,System.Object>  [Module(0xb400007cb6925060)]
             80         2  System.Threading.CancellationTokenSource.CallbackNode  [Module(0xb400007cb6925060)]
             80         1  Microsoft.Extensions.DependencyInjection.ServiceProvider  [Module(0xb400007cb6951340)]
             80         1  System.Threading.Tasks.Task<Microsoft.Maui.Controls.Page>  [Module(0xb400007cb6925060)]
             80         1  Microsoft.Maui.Handlers.ApplicationHandler  [Module(0xb400007cb69374e0)]
             80         1  __XamlGeneratedCode__.__TypeAF9BAD9B3E5DCF0A  [Module(0xb400007cb692e2a0)]
